ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	"LOC113219365"	NA	chrNW_020555864.1	+	68488	68815	68537	68815	67927	68290	0	36,83,27,48	0,3,0,0	27,16,13,53,48	0,4,0,0,0	198	149	0.922680317577	1.0	1.0,0.954,1.0,1.0	1.0,0.751,1.0,1.0,1.0	0.038
1	"LOC113219365"	NA	chrNW_020555864.1	+	68894	68999	68897	68999	68488	68721	1	11,62,7,52	0,10,2,8	2,1,1,3,0	0,0,0,1,0	152	149	1	1.0	1.0,0.859,0.774,0.864	1.0,1.0,1.0,0.746,NA	-0.062
2	"LOC100577816"	NA	chrNW_020555859.1	-	437956	438140	437956	438137	438276	438508	2	126,395,301,470	14,13,4,12	77,219,81,139,110	6,1,0,2,12	152	149	0.620210772603	0.8477363011071828	0.898,0.968,0.987,0.975	0.926,0.995,1.0,0.986,0.9	-0.004
3	"LOC100577594"	NA	chrNW_020555859.1	-	427131	427291	427131	427282	427678	428430	3	475,959,964,815	129,355,235,168	541,671,572,689,591	176,178,234,183,178	158	149	0.132174102569	0.23712199730857425	0.776,0.718,0.795,0.821	0.744,0.78,0.697,0.78,0.758	0.026
4	"LOC102655737"	NA	chrNC_037653.1	-	6923806	6923854	6923806	6923851	6924024	6925478	4	13,17,21,94	0,1,0,5	8,6,6,25,11	0,0,0,21,0	152	149	0.0303221878177	0.06410638627855351	1.0,0.943,1.0,0.949	1.0,1.0,1.0,0.539,1.0	0.065
5	"LOC410658"	NA	chrNC_037653.1	-	6689118	6689330	6689118	6689321	6690224	6690399	5	5,25,21,14	11,26,29,20	41,85,69,101,70	35,11,5,35,24	158	149	7.00309372714e-08	3.803889263436485e-07	0.3,0.476,0.406,0.398	0.525,0.879,0.929,0.731,0.733	-0.364
6	"LOC408562"	NA	chrNC_037653.1	+	6573547	6577971	6577035	6577971	6539831	6539935	6	1139,3932,1099,2677	0,0,0,2	1561,2283,1466,2082,2242	0,0,0,0,0	3637	149	1	1.0	1.0,1.0,1.0,0.982	1.0,1.0,1.0,1.0,1.0	-0.004
7	"LOC726021"	NA	chrNC_037653.1	-	5188072	5188232	5188072	5188226	5188306	5190002	7	139,279,826,882	439,903,1619,1180	250,428,355,687,639	1052,1930,1743,2779,1646	155	149	6.76328129314e-05	0.00025010133382190303	0.233,0.229,0.329,0.418	0.186,0.176,0.164,0.192,0.272	0.104
8	"LOC113219299"	NA	chrNC_037653.1	-	5125864	5126498	5125864	5126210	5126737	5128246	8	4,31,81,23	0,2,0,0	14,46,41,75,52	0,1,0,1,0	437	149	1	1.0	1.0,0.841,1.0,1.0	1.0,0.94,1.0,0.962,1.0	-0.02
9	"LOC409655"	NA	chrNC_037653.1	+	5024260	5025993	5024281	5025993	5023387	5023474	9	0,6,2,1	2,23,9,2	3,0,0,0,0	0,0,0,0,4	170	149	1	1.0	0.0,0.186,0.163,0.305	1.0,NA,NA,NA,0.0	-0.337
10	"LOC409655"	NA	chrNC_037653.1	+	5045931	5046043	5045937	5046043	5045577	5045716	10	170,350,219,523	1272,2790,1869,3942	161,226,177,473,273	1219,1851,1607,2363,1601	155	149	0.0870876825344	0.16519788306840952	0.114,0.108,0.101,0.113	0.113,0.105,0.096,0.161,0.141	-0.014
11	"LOC409655"	NA	chrNC_037653.1	+	5048245	5048356	5048272	5048356	5045931	5046043	11	163,240,47,156	0,0,2,6	53,59,41,2,15	0,0,0,0,0	176	149	0.872149582293	1.0	1.0,1.0,0.952,0.957	1.0,1.0,1.0,1.0,1.0	-0.023
12	"LOC409655"	NA	chrNC_037653.1	+	5048245	5048356	5048272	5048356	5047423	5047456	12	352,685,136,542	0,12,16,20	169,202,164,134,130	2,6,2,7,4	176	149	0.42143145491	0.6287766605248483	1.0,0.98,0.878,0.958	0.986,0.966,0.986,0.942,0.965	-0.015
13	"LOC725662"	NA	chrNC_037653.1	-	4922538	4922753	4922538	4922732	4922887	4929705	13	186,488,627,516	3,41,23,30	200,327,281,467,379	8,37,20,31,31	170	149	0.019048193766	0.0424776291319291	0.982,0.913,0.96,0.938	0.956,0.886,0.925,0.93,0.915	0.026
14	"LOC412608"	NA	chrNC_037653.1	-	4859092	4859222	4859092	4859216	4859321	4859383	14	148,118,95,94	12,102,26,67	104,123,40,136,49	31,85,33,47,61	155	149	0.143798646912	0.2555685544658082	0.922,0.527,0.778,0.574	0.763,0.582,0.538,0.736,0.436	0.089
15	"LOC412357"	NA	chrNC_037653.1	-	4935310	4935588	4935310	4935543	4935663	4935939	15	173,486,603,392	15,23,31,17	573,857,850,988,634	27,54,45,71,54	194	149	0.124550336187	0.2261131942186812	0.899,0.942,0.937,0.947	0.942,0.924,0.936,0.914,0.9	0.008
16	"LOC413119"	NA	chrNC_037653.1	-	4636547	4636702	4636547	4636681	4637155	4637293	16	2,13,0,2	90,140,23,84	5,24,2,8,12	45,65,122,68,64	170	149	0.000287455024824	0.0009447944619063426	0.019,0.075,0.0,0.02	0.089,0.244,0.014,0.093,0.141	-0.088
17	"LOC724422"	NA	chrNC_037653.1	+	4510828	4511762	4510831	4511762	4494355	4495982	17	3,11,14,21	5,9,4,16	35,62,58,62,108	33,54,65,61,49	152	149	0.583413056214	0.809153900059959	0.37,0.545,0.774,0.563	0.51,0.53,0.467,0.499,0.684	0.025
18	"LOC107965657"	NA	chrNC_037653.1	+	2989649	2989786	2989652	2989786	2988993	2989585	18	20,31,15,67	16,2,0,3	0,4,2,9,0	0,2,2,0,0	152	149	1	1.0	0.551,0.938,1.0,0.956	NA,0.662,0.495,1.0,NA	0.142
19	"LOC102655025"	NA	chrNC_037653.1	+	2897410	2897524	2897418	2897524	2897190	2897332	19	0,2,28,0	4,0,7,2	4,4,0,2,0	8,0,0,2,0	157	149	1	1.0	0.0,1.0,0.792,0.0	0.322,1.0,NA,0.487,NA	-0.155
20	"LOC552100"	NA	chrNC_037653.1	-	2859711	2859989	2859711	2859959	2860710	2861260	20	41,175,437,173	6,10,17,17	36,26,23,23,11	0,0,0,0,0	179	149	2.58022434751e-07	1.3218762992451801e-06	0.85,0.936,0.955,0.894	1.0,1.0,1.0,1.0,1.0	-0.091
21	"LOC411556"	NA	chrNC_037653.1	-	2844797	2844909	2844797	2844906	2845095	2845242	21	17,45,117,37	3,6,10,4	0,7,10,14,20	6,5,0,5,8	152	149	0.0100059599564	0.023679896484743654	0.847,0.88,0.92,0.901	0.0,0.578,1.0,0.733,0.71	0.283
22	"LOC411469"	NA	chrNC_037653.1	-	2705767	2705958	2705767	2705948	2706019	2706144	22	125,384,690,302	29,59,139,51	125,154,151,144,192	55,48,39,59,36	159	149	0.000192251496978	0.0006549625936089295	0.802,0.859,0.823,0.847	0.68,0.75,0.784,0.696,0.833	0.084
23	"LOC413633"	NA	chrNC_037653.1	-	1545021	1545173	1545021	1545170	1548929	1549219	23	9,13,56,43	33,65,169,74	58,48,46,78,60	114,138,99,204,138	152	149	0.243373652311	0.40167626916426874	0.211,0.164,0.245,0.363	0.333,0.254,0.313,0.273,0.299	-0.049
24	"LOC552675"	NA	chrNC_037653.1	+	1308751	1310425	1308754	1310425	1307595	1308190	24	325,799,738,807	4,55,33,46	896,1201,1123,1510,1190	79,60,59,102,49	152	149	0.186189909372	0.3189637142819886	0.988,0.934,0.956,0.945	0.917,0.952,0.949,0.936,0.96	0.013
25	"LOC726460"	NA	chrNC_037653.1	-	1147169	1147523	1147169	1147286	1147682	1147783	25	52,74,253,108	265,576,551,433	22,59,35,67,58	157,229,297,254,241	386	149	0.0716273230295	0.13790171444469573	0.07,0.047,0.151,0.088	0.051,0.09,0.044,0.092,0.085	0.017
26	"LOC412031"	NA	chrNC_037653.1	-	1102299	1102353	1102299	1102348	1103103	1103160	26	0,11,3,19	2,0,0,4	5,2,1,8,12	4,0,1,0,0	154	149	0.290109365012	0.4629768922462891	0.0,1.0,1.0,0.821	0.547,1.0,0.492,1.0,1.0	-0.103
