ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
6	"LOC726021"	NA	chrNC_037653.1	-	5166438	5166463	5166447	5166463	5165173	5165311
8	"LOC113219299"	NA	chrNC_037653.1	-	5126401	5128246	5126737	5128246	5125864	5126210
16	"LOC551165"	NA	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3109363	3109543
17	"LOC551165"	NA	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3111348	3111773
26	"LOC413633"	NA	chrNC_037653.1	-	1539622	1539852	1539640	1539852	1539511	1539520
28	"LOC412031"	NA	chrNC_037653.1	-	1103103	1103160	1103128	1103160	1102299	1102348
33	"LOC411525"	NA	chrNC_037653.1	-	750467	750728	750558	750728	749973	750093
39	"LOC100577912"	NA	chrNC_037652.1	+	8175451	8175585	8175451	8175575	8177361	8177605
40	"LOC100577912"	NA	chrNC_037652.1	+	8175451	8175829	8175451	8175575	8177361	8177605
41	"LOC100577912"	NA	chrNC_037652.1	+	8175451	8175829	8175451	8175585	8177361	8177605
48	"LOC725115"	NA	chrNC_037652.1	+	7445726	7446772	7445726	7445790	7447017	7447178
58	"LOC100576855"	NA	chrNC_037652.1	+	5876181	5876341	5876181	5876287	5876973	5877343
59	"LOC100576855"	NA	chrNC_037652.1	+	5876181	5876341	5876181	5876287	5877412	5877977
75	"LOC552479"	NA	chrNC_037652.1	-	2718575	2718903	2718695	2718903	2716324	2716480
93	"LOC408501"	NA	chrNC_037651.1	+	10640837	10640980	10640837	10640967	10641031	10641086
95	"LOC408501"	NA	chrNC_037651.1	+	10640837	10640980	10640837	10640967	10641163	10641543
128	"LOC100576925"	NA	chrNC_037651.1	-	8628320	8628833	8628615	8628833	8627899	8628065
133	"LOC412941"	NA	chrNC_037651.1	-	8253349	8254325	8253979	8254325	8251457	8252799
136	"LOC408463"	NA	chrNC_037651.1	+	8043499	8044850	8043499	8044644	8056074	8058886
153	"LOC725179"	NA	chrNC_037651.1	+	5049726	5049864	5049726	5049849	5050671	5050701
161	"LOC412927"	NA	chrNC_037651.1	+	3364829	3367473	3364829	3365977	3371268	3371370
170	"LOC725111"	NA	chrNC_037650.1	-	10101111	10101312	10101251	10101312	10100764	10100956
172	"LOC409049"	NA	chrNC_037650.1	+	7339608	7339887	7339608	7339818	7341748	7343353
176	"Dll"	NA	chrNC_037650.1	+	6443136	6445637	6443136	6445622	6512620	6512792
177	"LOC726547"	NA	chrNC_037650.1	-	6223836	6224260	6223849	6224260	6204353	6204584
178	"LOC726547"	NA	chrNC_037650.1	-	6241645	6242846	6242686	6242846	6204353	6204584
181	"LOC102653850"	NA	chrNC_037653.1	-	4501680	4502685	4502508	4502685	4501410	4501605
184	"Foxp"	NA	chrNC_037650.1	-	5469253	5470450	5469257	5470450	5407031	5407139
190	"LOC725246"	NA	chrNC_037649.1	-	981131	982970	981736	982970	980026	981041
201	"LOC409729"	NA	chrNC_037642.1	-	13714656	13716548	13716350	13716548	13691705	13694740
202	"LOC409729"	NA	chrNC_037642.1	-	13714656	13716548	13715960	13716548	13699699	13699823
