ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
6	"LOC726021"	"LOC726021"	chrNC_037653.1	-	5166438	5166463	5166447	5166463	5165173	5165311
8	"LOC113219299"	"LOC113219299"	chrNC_037653.1	-	5126401	5128246	5126737	5128246	5125864	5126210
16	"LOC551165"	"LOC551165"	chrNC_037653.1	+	3099385	3099933	3099385	3099528	3109363	3109543
26	"LOC412031"	"LOC412031"	chrNC_037653.1	-	1103103	1103160	1103128	1103160	1102299	1102348
31	"LOC411525"	"LOC411525"	chrNC_037653.1	-	750467	750728	750558	750728	749973	750093
37	"LOC100577912"	"LOC100577912"	chrNC_037652.1	+	8175451	8175829	8175451	8175575	8177361	8177605
50	"Adar"	"Adar"	chrNC_037652.1	-	6320326	6320517	6320409	6320517	6320151	6320250
54	"LOC100576855"	"LOC100576855"	chrNC_037652.1	+	5876181	5876341	5876181	5876287	5876973	5877343
55	"LOC100576855"	"LOC100576855"	chrNC_037652.1	+	5876181	5876341	5876181	5876287	5877412	5877977
68	"LOC410624"	"LOC410624"	chrNC_037652.1	+	5069986	5070076	5069986	5070070	5076453	5076932
70	"LOC408548"	"LOC408548"	chrNC_037652.1	-	3036495	3036578	3036537	3036578	3035931	3036142
73	"LOC552479"	"LOC552479"	chrNC_037652.1	-	2718575	2718903	2718695	2718903	2716324	2716480
91	"LOC408501"	"LOC408501"	chrNC_037651.1	+	10640837	10640980	10640837	10640967	10641031	10641086
125	"LOC100576925"	"LOC100576925"	chrNC_037651.1	-	8628320	8628833	8628615	8628833	8627899	8628065
130	"LOC412941"	"LOC412941"	chrNC_037651.1	-	8253349	8254325	8253979	8254325	8251457	8252799
149	"LOC725179"	"LOC725179"	chrNC_037651.1	+	5049726	5049864	5049726	5049849	5050671	5050701
155	"LOC100577542"	"LOC100577542"	chrNC_037651.1	+	3857292	3860087	3857292	3858560	3897316	3897967
166	"LOC725111"	"LOC725111"	chrNC_037650.1	-	10101111	10101312	10101251	10101312	10100764	10100956
168	"LOC409049"	"LOC409049"	chrNC_037650.1	+	7339608	7339887	7339608	7339818	7341748	7343353
176	"Foxp"	"Foxp"	chrNC_037650.1	-	5469253	5470450	5469257	5470450	5407031	5407139
182	"LOC725246"	"LOC725246"	chrNC_037649.1	-	981131	982970	981736	982970	979592	979744
183	"LOC725246"	"LOC725246"	chrNC_037649.1	-	981131	982970	981736	982970	980026	981041
194	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13716350	13716548	13691705	13694740
195	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13716350	13716548	13699699	13699823
196	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13715960	13716548	13702071	13706245
197	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13714656	13716548	13716041	13716548	13702071	13706245
199	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13715960	13716548	13716041	13716548	13702071	13706245
200	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13715960	13716548	13716350	13716548	13702071	13706245
201	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13716041	13716548	13716350	13716548	13702071	13706245
202	"LOC409729"	"LOC409729"	chrNC_037642.1	-	13715960	13716548	13716350	13716548	13714656	13714903
206	"LOC552842"	"LOC552842"	chrNC_037642.1	+	13684862	13685041	13684862	13685019	13685114	13685334
207	"LOC552842"	"LOC552842"	chrNC_037642.1	+	13684862	13685041	13684862	13685019	13685148	13685334
209	"LOC726654"	"LOC726654"	chrNC_037642.1	-	13575948	13576519	13576245	13576519	13571657	13573017
210	"LOC726654"	"LOC726654"	chrNC_037642.1	-	13575948	13576519	13576245	13576519	13573095	13573172
219	"LOC100578678"	"LOC100578678"	chrNC_037642.1	-	12919098	12920542	12919264	12920542	12917507	12917833
221	"LOC100578678"	"LOC100578678"	chrNC_037642.1	-	12919098	12920542	12919264	12920542	12918756	12918952
259	"LOC408867"	"LOC408867"	chrNC_037643.1	-	1813306	1813707	1813420	1813707	1766151	1766316
260	"LOC408867"	"LOC408867"	chrNC_037643.1	-	1813306	1813707	1813420	1813707	1795297	1795454
265	"LOC409414"	"LOC409414"	chrNC_037642.1	+	2280962	2281262	2280962	2281205	2282699	2282739
268	"LOC412288"	"LOC412288"	chrNC_037638.1	+	24639287	24639430	24639287	24639409	24648143	24648356
269	"LOC100577801"	"LOC100577801"	chrNC_037648.1	+	12315543	12319079	12315543	12315715	12346709	12346787
275	"LOC552727"	"LOC552727"	chrNC_037641.1	+	12711559	12711685	12711559	12711677	12711750	12711834
287	"LOC725732"	"LOC725732"	chrNC_037642.1	+	5801501	5801699	5801501	5801663	5815176	5815361
292	"LOC552792"	"LOC552792"	chrNC_037641.1	+	11950909	11951731	11950909	11951460	11951809	11952071
303	"LOC413377"	"LOC413377"	chrNC_037638.1	+	24141008	24148778	24141008	24148310	24149392	24149645
308	"LOC409051"	"LOC409051"	chrNC_037641.1	+	10013084	10014224	10013084	10014197	10018888	10018943
