SRR13361446     7       Queen_Ovary_1   queen_gonad7    queen   gonad
SRR13361447     7       Queen_Brain_5   queen_brain7    queen   brain
SRR13361448     7       Queen_Brain_4   queen_brain7    queen   brain
SRR13361449     7       Queen_Brain_3   queen_brain7    queen   brain
SRR13361450     7       Queen_Brain_2   queen_brain7    queen   brain
SRR13361451     7       Queen_Brain_1   queen_brain7    queen   brain
SRR13361452     15      Drone_Brain_5   drone_brain15   drone   brain
SRR13361453     15      Drone_Brain_4   drone_brain15   drone   brain
SRR13361454     15      Drone_Gonad_5   drone_gonad15   drone   gonad
SRR13361455     15      Drone_Gonad_4   drone_gonad15   drone   gonad
SRR13361456     15      Drone_Gonad_3   drone_gonad15   drone   gonad
SRR13361457     15      Drone_Gonad_2   drone_gonad15   drone   gonad
SRR13361458     15      Drone_Gonad_1   drone_gonad15   drone   gonad
SRR13361459     7       Queen_Ovary_3   queen_gonad7    queen   gonad
SRR13361460     7       Queen_Ovary_2   queen_gonad7    queen   gonad
SRR13361461     15      Drone_Brain_3   drone_brain15   drone   brain
